,Province_State,County,Party,TotalVotes,WinningVotes
330,Connecticut,Bolton,DEM,3288,1727
331,Connecticut,Bozrah,REP,1548,817
332,Connecticut,Branford,DEM,17913,10562
333,Connecticut,Bridgeport,DEM,42188,33515
334,Connecticut,Bridgewater,DEM,1233,667
335,Connecticut,Bristol,DEM,29799,15462
336,Connecticut,Brookfield,DEM,10807,5426
337,Connecticut,Brooklyn,REP,4222,2262
338,Connecticut,Burlington,DEM,6233,3099
339,Connecticut,Canaan,DEM,655,437
340,Connecticut,Canterbury,REP,3012,1755
341,Connecticut,Canton,DEM,6663,3878
342,Connecticut,Chaplin,REP,1290,662
343,Connecticut,Cheshire,DEM,17418,9745
344,Connecticut,Chester,DEM,2596,1701
345,Connecticut,Clinton,DEM,7804,4368
346,Connecticut,Colchester,DEM,9691,5216
347,Connecticut,Colebrook,REP,988,563
348,Connecticut,Columbia,DEM,3568,1888
349,Connecticut,Cornwall,DEM,1032,760
350,Connecticut,Coventry,DEM,7772,4011
351,Connecticut,Cromwell,DEM,8783,4872
352,Connecticut,Danbury,DEM,32021,18869
353,Connecticut,Darien,DEM,13018,7876
354,Connecticut,Deep River,DEM,2902,1785
355,Connecticut,Derby,DEM,5778,2963
356,Connecticut,Durham,DEM,4782,2363
357,Connecticut,East Granby,DEM,3264,1789
358,Connecticut,East Haddam,DEM,5825,2980
359,Connecticut,East Hampton,DEM,7988,4051
360,Connecticut,East Hartford,DEM,20607,14787
361,Connecticut,East Haven,REP,14501,7572
362,Connecticut,East Lyme,DEM,11756,7290
363,Connecticut,East Windsor,DEM,5652,3008
364,Connecticut,Eastford,REP,1067,572
365,Connecticut,Easton,DEM,5023,2777
366,Connecticut,Ellington,DEM,9491,4787
367,Connecticut,Enfield,DEM,20929,11263
368,Connecticut,Essex,DEM,4715,3011
369,Connecticut,Fairfield,DEM,35414,22861
370,Connecticut,Farmington,DEM,16037,9616
371,Connecticut,Franklin,REP,1261,674
372,Connecticut,Glastonbury,DEM,22374,13990
373,Connecticut,Goshen,REP,2100,1161
374,Connecticut,Granby,DEM,7373,4029
375,Connecticut,Greenwich,DEM,36112,22243
376,Connecticut,Griswold,REP,5981,3257
377,Connecticut,Groton,DEM,17389,10699
378,Connecticut,Guilford,DEM,14867,9616
379,Connecticut,Haddam,DEM,5517,2728
380,Connecticut,Hamden,DEM,29104,21652
381,Connecticut,Hampton,DEM,1139,572
382,Connecticut,Hartford,DEM,32687,28301
383,Connecticut,Hartland,REP,1292,818
384,Connecticut,Harwinton,REP,3701,2229
385,Connecticut,Hebron,DEM,6266,3388
386,Connecticut,Kent,DEM,1865,1277
387,Connecticut,Killingly,REP,8283,4678
388,Connecticut,Killingworth,DEM,4387,2343
389,Connecticut,Lebanon,REP,4438,2268
390,Connecticut,Ledyard,DEM,8427,4534
391,Connecticut,Lisbon,REP,2490,1331
392,Connecticut,Litchfield,DEM,5342,2673
393,Connecticut,Lyme,DEM,1772,1165
394,Connecticut,Madison,DEM,12437,7625
395,Connecticut,Manchester,DEM,28466,19455
396,Connecticut,Mansfield,DEM,7485,5608
397,Connecticut,Marlborough,DEM,4062,2119
398,Connecticut,Meriden,DEM,25326,14955
399,Connecticut,Middlebury,REP,5078,2741
400,Connecticut,Middlefield,DEM,2853,1442
401,Connecticut,Middletown,DEM,23509,15508
402,Connecticut,Milford,DEM,32062,17626
403,Connecticut,Monroe,REP,12002,5989
404,Connecticut,Montville,DEM,8873,4406
405,Connecticut,Morris,REP,1561,874
406,Connecticut,Naugatuck,REP,14904,7740
407,Connecticut,New Britain,DEM,24071,16031
408,Connecticut,New Canaan,DEM,12365,7298
409,Connecticut,New Fairfield,REP,8558,4343
410,Connecticut,New Hartford,REP,4577,2382
411,Connecticut,New Haven,DEM,42102,35521
412,Connecticut,New London,DEM,9123,6912
413,Connecticut,New Milford,DEM,15734,8004
414,Connecticut,Newington,DEM,17355,10031
415,Connecticut,Newtown,DEM,17269,9695
416,Connecticut,Norfolk,DEM,1060,659
417,Connecticut,North Branford,REP,8631,4786
418,Connecticut,North Canaan,DEM,1705,862
419,Connecticut,North Haven,REP,15441,7879
420,Connecticut,North Stonington,REP,3375,1710
421,Connecticut,Norwalk,DEM,43219,29382
422,Connecticut,Norwich,DEM,15290,9306
423,Connecticut,Old Lyme,DEM,5413,3226
424,Connecticut,Old Saybrook,DEM,7343,4253
425,Connecticut,Orange,DEM,9253,4816
426,Connecticut,Oxford,REP,8514,5118
427,Connecticut,Plainfield,REP,7086,4080
428,Connecticut,Plainville,REP,9647,4811
429,Connecticut,Plymouth,REP,6593,3984
430,Connecticut,Pomfret,DEM,2524,1357
431,Connecticut,Portland,DEM,5888,3155
432,Connecticut,Preston,REP,2868,1529
433,Connecticut,Prospect,REP,6111,3935
434,Connecticut,Putnam,REP,4350,2193
435,Connecticut,Redding,DEM,5975,3829
436,Connecticut,Ridgefield,DEM,16245,10278
437,Connecticut,Rocky Hill,DEM,10940,6115
438,Connecticut,Roxbury,DEM,1622,937
439,Connecticut,Salem,REP,2623,1291
440,Connecticut,Salisbury,DEM,2555,2023
441,Connecticut,Scotland,REP,970,537
442,Connecticut,Seymour,REP,9392,5242
443,Connecticut,Sharon,DEM,1555,1019
444,Connecticut,Shelton,REP,23892,12747
445,Connecticut,Sherman,DEM,2336,1234
446,Connecticut,Simsbury,DEM,16174,10296
447,Connecticut,Somers,REP,5731,3204
448,Connecticut,South Windsor,DEM,15523,9596
449,Connecticut,Southbury,DEM,12990,6570
450,Connecticut,Southington,REP,26718,13473
451,Connecticut,Sprague,REP,1557,882
452,Connecticut,Stafford,REP,6422,3461
453,Connecticut,Stamford,DEM,59412,40437
454,Connecticut,Sterling,REP,1908,1229
455,Connecticut,Stonington,DEM,11889,7453
456,Connecticut,Stratford,DEM,28194,17363
457,Connecticut,Suffield,DEM,8686,4363
458,Connecticut,Thomaston,REP,4374,2768
459,Connecticut,Thompson,REP,5155,3005
460,Connecticut,Tolland,DEM,9257,5103
461,Connecticut,Torrington,REP,16824,9220
462,Connecticut,Trumbull,DEM,22002,11919
463,Connecticut,Union,REP,571,307
464,Connecticut,Vernon,DEM,15400,9259
465,Connecticut,Voluntown,REP,1524,918
466,Connecticut,Wallingford,DEM,25785,13560
467,Connecticut,Warren,REP,945,470
468,Connecticut,Washington,DEM,2268,1461
469,Connecticut,Waterbury,DEM,36107,21573
470,Connecticut,Waterford,DEM,12316,6917
471,Connecticut,Watertown,REP,12754,7976
472,Connecticut,West Hartford,DEM,36291,27298
473,Connecticut,West Haven,DEM,22605,14245
474,Connecticut,Westbrook,DEM,4311,2288
475,Connecticut,Weston,DEM,6528,4733
476,Connecticut,Westport,DEM,17523,13048
477,Connecticut,Wethersfield,DEM,16277,9612
478,Connecticut,Willington,DEM,3204,1674
479,Connecticut,Wilton,DEM,11715,7676
480,Connecticut,Winchester,REP,5133,2799
481,Connecticut,Windham,DEM,8348,5365
482,Connecticut,Windsor,DEM,17514,13183
483,Connecticut,Windsor Locks,DEM,7021,3751
484,Connecticut,Wolcott,REP,10002,6519
485,Connecticut,Woodbridge,DEM,5739,3855
486,Connecticut,Woodbury,REP,6559,3295
487,Connecticut,Woodstock,DEM,5179,2548
488,Delaware,Kent County,DEM,87025,44552
489,Delaware,New Castle County,DEM,287633,195034
490,Delaware,Sussex County,REP,129352,71230
491,District of Columbia,District of Columbia,DEM,41681,39041
492,District of Columbia,Ward 2,DEM,32881,29078
493,District of Columbia,Ward 3,DEM,44231,39397
494,District of Columbia,Ward 4,DEM,45296,42489
495,District of Columbia,Ward 5,DEM,46107,43320
496,District of Columbia,Ward 6,DEM,62918,56719
497,District of Columbia,Ward 7,DEM,38384,36382
498,District of Columbia,Ward 8,DEM,32858,30897
